[0.000000] (-) TimerEvent: {}
[0.000492] (41068_ignition_bringup) JobQueued: {'identifier': '41068_ignition_bringup', 'dependencies': OrderedDict()}
[0.174092] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/pine_tree/thumbnails/5.png\n'}
[0.174149] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_plane\n'}
[0.174436] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_plane/model.sdf\n'}
[0.174553] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_plane/materials\n'}
[0.174628] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_plane/materials/textures\n'}
[0.174732] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_plane/materials/textures/leaf_litter.png\n'}
[0.174824] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_plane/materials/textures/forest_overhead.png\n'}
[0.174887] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_plane/materials/textures/empty_grass.png\n'}
[0.174947] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_plane/model.config\n'}
[0.175007] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/grass_plane\n'}
[0.175066] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/grass_plane/model.sdf\n'}
[0.175125] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/grass_plane/materials\n'}
[0.175252] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/grass_plane/materials/textures\n'}
[0.175383] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/grass_plane/materials/textures/empty_grass.png\n'}
[0.175448] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/grass_plane/model.config\n'}
[0.175510] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/fire\n'}
[0.175570] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/fire/model.sdf\n'}
[0.175628] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/fire/model.config\n'}
[0.175684] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/big_forest_plane\n'}
[0.175741] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/big_forest_plane/model.sdf\n'}
[0.175799] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/big_forest_plane/materials\n'}
[0.175908] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/big_forest_plane/materials/textures\n'}
[0.175965] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/big_forest_plane/materials/textures/leaf_litter.png\n'}
[0.176036] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/big_forest_plane/materials/textures/forest_overhead.png\n'}
[0.176112] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/big_forest_plane/materials/textures/empty_grass.png\n'}
[0.176177] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/models/big_forest_plane/model.config\n'}
[0.176274] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf\n'}
[0.176330] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf/husky.urdf.xacro\n'}
[0.176388] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf/meshes\n'}
[0.176475] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf/meshes/top_chassis.dae\n'}
[0.176533] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf/meshes/wheel.dae\n'}
[0.176591] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf/meshes/top_plate.dae\n'}
[0.176648] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf/meshes/jpl04_arch_nosensor.stl\n'}
[0.176705] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf/meshes/base_link.dae\n'}
[0.176762] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf/meshes/bumper.dae\n'}
[0.176819] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf/husky.gazebo.xacro\n'}
[0.176876] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf/common_properties.urdf.xacro\n'}
[0.176933] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/urdf/wheel.urdf.xacro\n'}
[0.176990] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/worlds\n'}
[0.177047] (41068_ignition_bringup) StdoutLine: {'line': b'-- Installing: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/worlds/husky_drone_world.sdf\n'}
[0.177148] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/worlds/generated_forest_200m.sdf\n'}
[0.177289] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/worlds/generated_forest.sdf\n'}
[0.177392] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/worlds/bushland.sdf\n'}
[0.177461] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/worlds/autogen.py\n'}
[0.177537] (41068_ignition_bringup) StdoutLine: {'line': b'-- Installing: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/worlds/simple_trees.sdf\n'}
[0.177601] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/worlds/large_demo.sdf\n'}
[0.177658] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/ament_index/resource_index/package_run_dependencies/41068_ignition_bringup\n'}
[0.177717] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/ament_index/resource_index/parent_prefix_path/41068_ignition_bringup\n'}
[0.177773] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/environment/ament_prefix_path.sh\n'}
[0.177830] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/environment/ament_prefix_path.dsv\n'}
[0.177885] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/environment/path.sh\n'}
[0.177937] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/environment/path.dsv\n'}
[0.177989] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/local_setup.bash\n'}
[0.178043] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/local_setup.sh\n'}
[0.178117] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/local_setup.zsh\n'}
[0.178214] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/local_setup.dsv\n'}
[0.178310] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/package.dsv\n'}
[0.178393] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/ament_index/resource_index/packages/41068_ignition_bringup\n'}
[0.178472] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/cmake/41068_ignition_bringupConfig.cmake\n'}
[0.178551] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/cmake/41068_ignition_bringupConfig-version.cmake\n'}
[0.178639] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/odyssey/ros2_ws/src/41068_Robotics_Studio_1/simulations/install/41068_ignition_bringup/share/41068_ignition_bringup/package.xml\n'}
[0.179808] (41068_ignition_bringup) CommandEnded: {'returncode': 0}
[0.199703] (41068_ignition_bringup) JobEnded: {'identifier': '41068_ignition_bringup', 'rc': 0}
[0.200427] (-) TimerEvent: {}
[0.200518] (-) EventReactorShutdown: {}
